Servo x	Yellow x	Green x
-0.0058	0.2504	0.2705
-0.0090	0.2659	0.2772
-0.0090	0.2784	0.2801
-0.0131	0.2879	0.2801
-0.0134	0.2946	0.2767
-0.0158	0.2980	0.2700
-0.0158	0.2982	0.2602
-0.0176	0.2955	0.2475
-0.0176	0.2899	0.2321
-0.0195	0.2811	0.2137
-0.0195	0.2696	0.1929
-0.0200	0.2551	0.1696
-0.0200	0.2382	0.1446
-0.0196	0.2188	0.1176
-0.0196	0.1970	0.0892
-0.0179	0.1730	0.0598
-0.0179	0.1475	0.0294
-0.0166	0.1203	-0.0012
-0.0166	0.0917	-0.0321
-0.0138	0.0625	-0.0630
-0.0134	0.0323	-0.0931
-0.0107	0.0020	-0.1225
-0.0107	-0.0284	-0.1510
-0.0072	-0.0588	-0.1774
-0.0072	-0.0882	-0.2024
-0.0020	-0.1166	-0.2252
-0.0020	-0.1438	-0.2458
0.0010	-0.1696	-0.2639
0.0010	-0.1933	-0.2796
0.0049	-0.2152	-0.2926
0.0049	-0.2345	-0.3026
0.0086	-0.2512	-0.3095
0.0086	-0.2649	-0.3134
0.0127	-0.2759	-0.3142
0.0127	-0.2840	-0.3120
0.0151	-0.2887	-0.3066
0.0151	-0.2901	-0.2982
0.0174	-0.2884	-0.2870
0.0174	-0.2835	-0.2732
0.0194	-0.2754	-0.2566
0.0194	-0.2642	-0.2377
0.0199	-0.2502	-0.2164
0.0199	-0.2335	-0.1929
0.0198	-0.2142	-0.1676
0.0198	-0.1924	-0.1404
0.0181	-0.1684	-0.1117
0.0181	-0.1426	-0.0823
0.0172	-0.1152	-0.0520
0.0172	-0.0865	-0.0213
0.0148	-0.0566	0.0096
0.0148	-0.0262	0.0402
0.0111	0.0044	0.0703
0.0111	0.0353	0.0995
0.0077	0.0654	0.1277
0.0077	0.0948	0.1539
0.0044	0.1235	0.1786
0.0044	0.1510	0.2014
-0.0010	0.1764	0.2215
-0.0010	0.2007	0.2392
-0.0049	0.2225	0.2541
-0.0049	0.2419	0.2659
-0.0077	0.2593	0.2747
-0.0077	0.2737	0.2803
-0.0123	0.2852	0.2825
-0.0123	0.2941	0.2816
-0.0151	0.2997	0.2772
-0.0151	0.3024	0.2698
-0.0172	0.3019	0.2590
-0.0172	0.2982	0.2455
-0.0191	0.2919	0.2291
-0.0191	0.2823	0.2100
-0.0199	0.2698	0.1882
-0.0199	0.2549	0.1644
-0.0198	0.2370	0.1387
-0.0198	0.2169	0.1110
-0.0188	0.1943	0.0821
-0.0188	0.1696	0.0522
-0.0174	0.1434	0.0213
-0.0174	0.1157	-0.0098
-0.0145	0.0865	-0.0409
-0.0145	0.0569	-0.0723
-0.0115	0.0265	-0.1024
-0.0115	-0.0044	-0.1321
-0.0081	-0.0348	-0.1603
-0.0081	-0.0652	-0.1865
-0.0039	-0.0948	-0.2112
-0.0039	-0.1233	-0.2340
0.0015	-0.1505	-0.2541
0.0015	-0.1759	-0.2718
0.0039	-0.1995	-0.2872
0.0039	-0.2208	-0.2995
0.0077	-0.2397	-0.3085
0.0077	-0.2558	-0.3149
0.0119	-0.2693	-0.3178
0.0119	-0.2799	-0.3178
0.0145	-0.2872	-0.3146
0.0148	-0.2914	-0.3085
0.0166	-0.2923	-0.2992
0.0166	-0.2899	-0.2870
0.0190	-0.2843	-0.2720
0.0190	-0.2757	-0.2544
0.0198	-0.2639	-0.2345
0.0198	-0.2495	-0.2120
0.0200	-0.2323	-0.1875
0.0200	-0.2125	-0.1612
0.0191	-0.1902	-0.1331
0.0191	-0.1659	-0.1037
0.0176	-0.1397	-0.0735
0.0176	-0.1117	-0.0424
0.0158	-0.0828	-0.0113
0.0158	-0.0529	0.0201
0.0123	-0.0223	0.0510
0.0119	0.0086	0.0811
0.0090	0.0397	0.1105
0.0090	0.0701	0.1382
0.0053	0.1000	0.1644
0.0053	0.1289	0.1887
-0.0010	0.1563	0.2107
-0.0010	0.1823	0.2301
-0.0034	0.2063	0.2470
-0.0034	0.2284	0.2610
-0.0067	0.2477	0.2720
-0.0067	0.2649	0.2796
-0.0115	0.2791	0.2840
-0.0115	0.2904	0.2852
-0.0141	0.2985	0.2830
-0.0141	0.3036	0.2774
-0.0172	0.3056	0.2688
-0.0172	0.3041	0.2571
-0.0188	0.2997	0.2421
-0.0188	0.2923	0.2247
-0.0197	0.2816	0.2046
-0.0197	0.2681	0.1821
-0.0199	0.2517	0.1573
-0.0199	0.2330	0.1309
-0.0193	0.2115	0.1027
-0.0193	0.1880	0.0733
-0.0181	0.1625	0.0429
