Data Set 1:Time(s),Data Set 1:Position G(m),Data Set 1:Velocity G(m/s),Data Set 1:Acceleration G(m/s²),Data Set 1:Position Y 1(m),Data Set 1:Velocity Y 1(m/s),Data Set 1:Acceleration Y 1(m/s²),Data Set 1:Position Y 2(m),Data Set 1:Velocity Y 2(m/s),Data Set 1:Acceleration Y 2(m/s²)
1.1399999999999999,0.11860612034797668,0.069431960582733238,-3.8198681467753182,-0.064204126596450806,-0.14856392517685907,2.6424602141178455,0.025485606864094734,-0.30921039093906716,1.2920403093664465
1.1799999999999999,0.11836105585098267,-0.097000495427184599,-4.0893141829903081,-0.067879937589168549,-0.03777914680540561,2.6812225459488452,0.013968072831630707,-0.24216091130963624,1.7542344025576251
1.22,0.11100944876670837,-0.26836805045604684,-4.0263263221232206,-0.067144773900508881,0.07079335240026309,2.5604446533561469,0.0056362403556704521,-0.16064644959341309,1.950527967656617
1.26,0.096551269292831421,-0.42952522635459872,-3.6325569000141122,-0.061998642981052399,0.17187807502018071,2.2848537565427427,0.00098021607846021652,-0.075898643505449045,1.8358952886810116
1.3,0.075966715812683105,-0.56855926911036159,-2.9335322467909255,-0.052931651473045349,0.25832769460976118,1.8635491106118807,0,-0.0039140564493007172,1.426526728602856
1.3400000000000001,0.049991011619567871,-0.67321765753958029,-1.9616352963364874,-0.040678948163986206,0.32452628430393043,1.3285566424594566,0.0014703236520290375,0.044245848483923461,0.82228259122564085
1.3799999999999999,0.020584523677825928,-0.7310775212115721,-0.81755378984926075,-0.026220768690109253,0.36690011103120157,0.7165129545121709,0.0044109709560871124,0.064667007083901176,0.11983250137016055
1.4199999999999999,-0.010047197341918945,-0.73992663787470903,0.37320735749364387,-0.010537326335906982,0.38357741302914072,0.054953342453099373,0.0075966715812683105,0.054796779942181358,-0.60873491500747245
1.46,-0.040188848972320557,-0.69925437370936017,1.5055870689037818,0.0053911805152893066,0.37166515572203501,-0.61109824821836034,0.0098021570593118668,0.014124639629800274,-1.2760861747306012
1.5,-0.067389786243438721,-0.61433654692437856,2.4827990111791389,0.020094424486160278,0.33218418765399166,-1.2077795115966381,0.0095571037381887436,-0.052414312894042116,-1.7868515591724197
1.54,-0.090424895286560059,-0.49419233368502685,3.2542676975329639,0.032592162489891052,0.27160139547453965,-1.6999903083261483,0.0061263479292392731,-0.13563054283925632,-2.0795784255397716
1.5800000000000001,-0.10782372951507568,-0.3461386594507429,3.7712990708741079,0.042394325137138367,0.19297998191581825,-2.0802866834227283,-0.00098021561279892921,-0.22752575783265952,-2.0964778579784489
1.6200000000000001,-0.1186060905456543,-0.18276924060450681,3.9817723388105293,0.048520669341087341,0.10006374989946694,-2.3048251786809657,-0.012252695858478546,-0.31363498257835332,-1.8018601132760932
1.6599999999999999,-0.12252694368362427,-0.01701754000451831,3.8612282398030389,0.050481110811233521,0.0032334381507502698,-2.3655695869460911,-0.026710877195000648,-0.38051428176307472,-1.2323603200288551
1.7,-0.1195862889289856,0.13665142986509532,3.4161705385755585,0.04876573383808136,-0.093256609721316205,-2.2873363420252244,-0.04361959733068943,-0.41846361160019607,-0.45805793271017126
1.74,-0.11076438426971436,0.26479425529638906,2.7073422492838168,0.04288443922996521,-0.184471160173416,-2.0623253227246008,-0.06126348115503788,-0.42169695435505744,0.45829446578325223
1.78,-0.097286403179168701,0.35839155316352816,1.8319975653732268,0.033572390675544739,-0.26258214687307657,-1.7070816973523228,-0.078662307932972908,-0.3842581529170272,1.4440172261531135
1.8200000000000001,-0.080867767333984375,0.41335837708579154,0.88763610103432622,0.021319687366485596,-0.32350527536537904,-1.2689948773276061,-0.093365544453263283,-0.30461561659144026,2.383059445604387
1.8600000000000001,-0.062978863716125488,0.4290147374073669,-0.043133831364501031,0.0071065574884414673,-0.36553873990972879,-0.78127426267774425,-0.10414791293442249,-0.1892360755138929,3.1809969871652757
1.8999999999999999,-0.045334935188293457,0.4068919354014931,-0.87617376221367327,-0.0085768848657608032,-0.38681077874369135,-0.26909179588848414,-0.1095391009002924,-0.042544124234053876,3.7382064471594432
1.9399999999999999,-0.029406428337097168,0.35294571684466458,-1.5253273850697846,-0.024505391716957092,-0.38698104003237338,0.23919173493338086,-0.10806878097355366,0.12048480307890307,3.9669996757440411
1.98,-0.016418576240539551,0.27721702224678441,-1.9374110356525145,-0.040188848972320557,-0.36655988854666521,0.71261379936779168,-0.099982002750039101,0.28606640795866628,3.8437403468883971
2.02,-0.0068615078926086426,0.18974658515718232,-2.0905671480261225,-0.054401978850364685,-0.32792979230483349,1.1225737434420957,-0.08478865958750248,0.43922515000708157,3.368309940857142
2.0600000000000001,-0.0012252330780029297,0.10176561772823324,-1.9848001775918152,-0.066899724304676056,-0.27415403164923163,1.450635418784515,-0.063959071412682533,0.56498545018257518,2.5893982273160314
2.1000000000000001,0.00098025798797607422,0.023313984274864179,-1.6420844792859766,-0.076701879501342773,-0.20880633965134601,1.6842729284106088,-0.038473466411232948,0.6544981784019096,1.5552224907384531
2.1400000000000001,0,-0.035566919379764105,-1.1159536244784605,-0.083808444440364838,-0.13648140140705631,1.8260865127322823,-0.010047210613265634,0.69551068461603549,0.33763461751845841
